wk_end,CountyName,res_county,People,IPeople,amt_benefits
2017-02-11,Big Horn,003,391,28,102075
2017-02-11,Blaine,005,31,3,7849
2017-02-11,Broadwater,007,68,18,16559
2017-02-11,Carbon,009,96,9,27576
2017-02-11,Carter,011,4,,
2017-02-11,Cascade,013,828,87,221549
2017-02-11,Chouteau,015,15,,3690
2017-02-11,Custer,017,103,14,32521
2017-02-11,Daniels,019,3,,
2017-02-11,Dawson,021,54,7,16431
2017-02-11,Deer Lodge,023,86,11,22894
2017-02-11,Fallon,025,11,,3156
2017-02-11,Fergus,027,143,16,49919
2017-02-11,Flathead,029,1686,147,474730
2017-02-11,Gallatin,031,751,99,203269
2017-02-11,Garfield,033,5,,
2017-02-11,Glacier,035,183,5,52946
2017-02-11,Golden Valley,037,6,,2356
2017-02-11,Granite,039,43,8,12632
2017-02-11,Hill,041,118,7,32778
2017-02-11,Jefferson,043,139,11,43563
2017-02-11,Judith Basin,045,12,3,
2017-02-11,Lake,047,304,24,70352
2017-02-11,Lewis and Clark,049,755,92,211045
2017-02-11,Liberty,051,7,,
2017-02-11,Lincoln,053,366,40,104412
2017-02-11,McCone,055,,,
2017-02-11,Madison,057,72,5,19852
2017-02-11,Meagher,059,19,,6072
2017-02-11,Mineral,061,49,,14710
2017-02-11,Missoula,063,1308,127,337923
2017-02-11,Musselshell,065,37,3,12217
2017-02-11,Park,067,182,18,48402
2017-02-11,Petroleum,069,3,,1438
2017-02-11,Phillips,071,38,3,10406
2017-02-11,Pondera,073,39,4,11945
2017-02-11,Powder River,075,9,,2387
2017-02-11,Powell,077,60,4,14835
2017-02-11,Prairie,079,7,,1248
2017-02-11,Ravalli,081,525,52,140240
2017-02-11,Richland,083,85,13,26089
2017-02-11,Roosevelt,085,65,6,18066
2017-02-11,Rosebud,087,77,4,22629
2017-02-11,Sanders,089,168,11,55791
2017-02-11,Sheridan,091,23,3,6978
2017-02-11,Silver Bow,093,411,25,112220
2017-02-11,Stillwater,095,103,15,30102
2017-02-11,Sweet Grass,097,14,,3903
2017-02-11,Teton,099,61,7,17836
2017-02-11,Toole,101,17,,5591
2017-02-11,Treasure,103,,,
2017-02-11,Valley,105,68,6,20672
2017-02-11,Wheatland,107,17,,4796
2017-02-11,Wibaux,109,,,
2017-02-11,Yellowstone,111,1628,213,462362
2017-02-18,Beaverhead,001,66,5,18081
2017-02-18,Big Horn,003,417,30,111029
2017-02-18,Blaine,005,28,,8009
2017-02-18,Broadwater,007,53,9,15071
2017-02-18,Carbon,009,85,6,25459
2017-02-18,Carter,011,,,
2017-02-18,Cascade,013,762,69,191429
2017-02-18,Chouteau,015,14,,3731
2017-02-18,Custer,017,102,11,28246
2017-02-18,Daniels,019,,,
2017-02-18,Dawson,021,49,3,14893
2017-02-18,Deer Lodge,023,78,7,21918
2017-02-18,Fallon,025,11,,3523
2017-02-18,Fergus,027,144,11,51438
2017-02-18,Flathead,029,1594,136,441425
2017-02-18,Gallatin,031,706,67,203779
2017-02-18,Garfield,033,4,,
2017-02-18,Glacier,035,182,9,52427
2017-02-18,Golden Valley,037,7,,1730
2017-02-18,Granite,039,28,3,8232
2017-02-18,Hill,041,109,10,29037
2017-02-18,Jefferson,043,125,9,37943
2017-02-18,Judith Basin,045,9,,
2017-02-18,Lake,047,294,33,69869
